Titel,Journal,Year,Autoren,doi,pmid,Quelle,doi_norm,Titel_norm,Inkludiere_Titel_Abstract,Inkludiere_Volltext,Erster_Ausschlussgrund,Zweiter_Ausschlussgrund,Dritter_Ausschlussgrund,Vierter_Ausschlussgrund,Notizen
Reactive oxygen species in exercise and insulin resistance: Working towards personalized antioxidant treatment,Redox Biology,2021,"McKeegan, Kathryn; Mason, Shaun A.; Trewin, Adam J.; Keske, Michelle A.; Wadley, Glenn D.; Della Gatta, Paul A.; Nikolaidis, Michalis G.; Parker, Lewan",https://doi.org/10.1016/j.redox.2021.102005,,ScienceDirect,10.1016/j.redox.2021.102005,reactive oxygen species in exercise and insulin resistance working towards personalized antioxidant treatment,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Relative Contribution among Physical Fitness Factors Contributing to the Performance of Modern Pentathlon.,International journal of environmental research and public health,2021,Ko BG; Cho EH; Chae JS; Lee JH,10.3390/ijerph18094880,34063715,PubMed,10.3390/ijerph18094880,relative contribution among physical fitness factors contributing to the performance of modern pentathlon,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,,
Reliability of Three Landmine-Punch-Throw Variations and Their Load-Velocity Relationships Performed With the Dominant and Nondominant Hands.,International journal of sports physiology and performance,2024,Omcirk D; Vetrovsky T; O'Dea C; Ruddock A; Wilson D; Maleček J; Padecky J; Janikov MT; Tufano JJ,10.1123/ijspp.2023-0235,38834184,PubMed,10.1123/ijspp.2023-0235,reliability of three landmine punch throw variations and their load velocity relationships performed with the dominant and nondominant hands,Nein,Nein,Kein Interventionsdesign,Kein HIIT oder Krafttraining,,,
Repeated-sprint ability - part II: recommendations for training.,"Sports medicine (Auckland, N.Z.)",2011,Bishop D; Girard O; Mendez-Villanueva A,10.2165/11590560-000000000-00000,21846163,PubMed,10.2165/11590560-000000000-00000,repeated sprint ability part ii recommendations for training,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
"Residual effects of 12 weeks of power-oriented resistance training plus high-intensity interval training on muscle dysfunction, systemic oxidative damage, and antioxidant capacity after 10 months of training cessation in older people with COPD",,2023,"Baltasar Fernández, Iván; Losa Reyna, José; Carretero Martínez, Aitor; Rodríguez López, Carlos; Alfaro Acha, Ana; Guadalupe Grau, Amelia; Ara Royo, Ignacio; Alegre Durán, Luis María; Gómez Cabrera, Mari Carmen; García García, Francisco José; Alcázar Caminero, Julián",,,BASE,,residual effects of 12 weeks of power oriented resistance training plus high intensity interval training on muscle dysfunction systemic oxidative damage and antioxidant capacity after 10 months of training cessation in older people with copd,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Resistance exercise-induced S6K1 kinase activity is not inhibited in human skeletal muscle despite prior activation of AMPK by high-intensity interval cycling.,American journal of physiology. Endocrinology and metabolism,2015,Apró W; Moberg M; Hamilton DL; Ekblom B; van Hall G; Holmberg HC; Blomstrand E,10.1152/ajpendo.00486.2014,25605643,PubMed,10.1152/ajpendo.00486.2014,resistance exercise induced s6k1 kinase activity is not inhibited in human skeletal muscle despite prior activation of ampk by high intensity interval cycling,Nein,Nein,Kein Kraft- und/oder Power-Outcome,,,,
Resistance-only and concurrent exercise induce similar myofibrillar protein synthesis rates and associated molecular responses in moderately active men before and after training.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2024,Lee MJ; Caruana NJ; Saner NJ; Kuang J; Stokes T; McLeod JC; Oikawa SY; Bishop DJ; Bartlett JD; Phillips SM,10.1096/fj.202302024R,38153675,PubMed,10.1096/fj.202302024r,resistance only and concurrent exercise induce similar myofibrillar protein synthesis rates and associated molecular responses in moderately active men before and after training,Ja,Nein,Kein Kraft- und/oder Power-Outcome,,,,
Resistance training diminishes mitochondrial adaptations to subsequent endurance training in healthy untrained men.,,2023,"Mesquita, Paulo H C; Godwin, Joshua S; Ruple, Bradley A; Sexton, Casey L; McIntosh, Mason C; Mueller, Breanna J; Osburn, Shelby C; Mobley, C Brooks; Libardi, Cleiton A; Young, Kaelin C; Gladden, L Bruce; Roberts, Michael D; Kavazis, Andreas N",,,BASE,,resistance training diminishes mitochondrial adaptations to subsequent endurance training in healthy untrained men,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Resisted and Endurance High Intensity Interval Training for Combat Preparedness.,Aerospace medicine and human performance,2019,Tornero-Aguilera JG; Clemente-Suárez VJ,10.3357/AMHP.5217.2019,30579375,PubMed,10.3357/amhp.5217.2019,resisted and endurance high intensity interval training for combat preparedness,Nein,Nein,Reihenfolge nicht untersucht,,,,
Revisión bibliográfica entrenamiento concurrente y su aplicación en deportistas,,2019,"Beltrán Reyes, Mateo",,,BASE,,revisi n bibliogr fica entrenamiento concurrente y su aplicaci n en deportistas,Nein,Nein,Review / Kein Originalartikel,Sprache nicht Englisch / Deutsch,,,
Revisiting the Role of Exercise Countermeasure on the Regulation of Energy Balance During Space Flight.,Frontiers in physiology,2019,Laurens C; Simon C; Vernikos J; Gauquelin-Koch G; Blanc S; Bergouignan A,10.3389/fphys.2019.00321,30984019,PubMed,10.3389/fphys.2019.00321,revisiting the role of exercise countermeasure on the regulation of energy balance during space flight,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Schnell in Bestform!,,2012,"Roberts, M.",,,SPONET,,schnell in bestform,Nein,Nein,Review / Kein Originalartikel,,,,
"Schneller werden. Tempotraining für alle Distanzen. 5-km-Lauf, 10-km-Lauf, Halbmarathon, Marathon",,2010,"Higdon, H.",,,SPONET,,schneller werden tempotraining f r alle distanzen 5 km lauf 10 km lauf halbmarathon marathon,Nein,Nein,Review / Kein Originalartikel,,,,
Selecting the Best of the Best: Associations between Anthropometric and Fitness Assessment Results and Success in Police Specialist Selection.,International journal of exercise science,2018,Orr RM; Caust EL; Hinton B; Pope R,10.70252/ZTCP5072,29997733,PubMed,10.70252/ztcp5072,selecting the best of the best associations between anthropometric and fitness assessment results and success in police specialist selection,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
"Sequencing Effects of Concurrent Resistance and Short Sprint Interval Training on Physical Fitness, and Aerobic and Anaerobic Performance of Karate Athletes.",Journal of sports science & medicine,2025,Xu Y; Wang S,10.52082/jssm.2025.205,40046225,PubMed,10.52082/jssm.2025.205,sequencing effects of concurrent resistance and short sprint interval training on physical fitness and aerobic and anaerobic performance of karate athletes,Ja,Ja,,,,,
Sequencing effects of concurrent strength and endurance training on selected measures of physical fitness in young male soccer players: A randomized matched-pairs trial,,2023,"Blechschmied, R.; Hermse, M.; Gäbler, M.; Elferink-Gemser, M.; Hortobágyi, T.; Granacher, U.",10.1186/s40798-024-00726-4,,SPONET,10.1186/s40798-024-00726-4,sequencing effects of concurrent strength and endurance training on selected measures of physical fitness in young male soccer players a randomized matched pairs trial,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Short and long-term effects of water-based aerobic and concurrent training on cardiorespiratory capacity and strength of older women,Experimental Gerontology,2020,"Reichert, Thaís; Costa, Rochelle Rocha; Preissler, Artur Avelino Birk; Oliveira, Henrique Bianchi; Bracht, Cláudia Gomes; Barroso, Bruna Machado; de Mello Bones da Rocha, Vitória; Correia, Andressa Freitas; Kruel, Luiz Fernando Martins",https://doi.org/10.1016/j.exger.2020.111103,,ScienceDirect,10.1016/j.exger.2020.111103,short and long term effects of water based aerobic and concurrent training on cardiorespiratory capacity and strength of older women,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Similar Cardioventilatory but Greater Neuromuscular Stimuli With Interval Drop Jump Than With Interval Running,,2020,"Ducrocq, Guillaume; Hureau, Thomas, J; Meste, Olivier; Blain, Gregory",,,BASE,,similar cardioventilatory but greater neuromuscular stimuli with interval drop jump than with interval running,Nein,Nein,Kein Interventionsdesign,Reihenfolge nicht untersucht,,,
Six weeks of a concurrent training therapy improves endothelial function and arterial stiffness in hypertensive adults with minimum non-responders,Hipertensión y Riesgo Vascular,2024,"Alvarez, C.; Peñailillo, L.; Ibacache-Saavedra, P.; Jerez-Mayorga, D.; Campos-Jara, C.; Andrade, D.C.; Guimarães, G.V.; Gomes-Ciolac, E.; Delgado-Floody, P.; Izquierdo, M.; Gurovich, A.N.",https://doi.org/10.1016/j.hipert.2024.07.001,,ScienceDirect,10.1016/j.hipert.2024.07.001,six weeks of a concurrent training therapy improves endothelial function and arterial stiffness in hypertensive adults with minimum non responders,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Reihenfolge nicht untersucht,Falsche Population,,
"Skeletal muscle adaptations to high‐intensity, low‐volume concurrent resistance and interval training in recreationally active men and women",,2024,Adam J. Sterczala; Nathaniel Rodriguez‐Ortiz; Evan D. Feigel; Kellen T. Krajewski; Brian J. Martin; Nicole M. Sekel; Mita Lovalekar; Christopher K. Kargl; Kristen J. Koltun; Carola Van Eck; Shawn D. Flanagan; Christopher Connaboy; Sophie L. Wardle; Thomas J. O'Leary; Julie P. Greeves; Bradley C. Nindl,,,BASE,,skeletal muscle adaptations to high intensity low volume concurrent resistance and interval training in recreationally active men and women,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Succinate Regulates Exercise-Induced Muscle Remodelling by Boosting Satellite Cell Differentiation Through Succinate Receptor 1.,"Journal of cachexia, sarcopenia and muscle",2025,Shi Y; Zhou D; Wang H; Huang L; Gao X; Maitiabula G; Zhang L; Wang X,10.1002/jcsm.13670,39723719,PubMed,10.1002/jcsm.13670,succinate regulates exercise induced muscle remodelling by boosting satellite cell differentiation through succinate receptor 1,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
"Supplementary Material for: Long-term effects of a 6-week power-based resistance training and fast walking interval training program on physical function, muscle power, disability and frailty in pre-frail and frail older adults ...",,2024,"I., Baltasar-Fernandez; H., Soto-Paniagua; J., Alcazar; M.I., UcetaEspinosa; L.M., Alegre; F.J., Gracía-García; I., Ara; A., AlfaroAcha; J., Losa-Reyna",,,BASE,,supplementary material for long term effects of a 6 week power based resistance training and fast walking interval training program on physical function muscle power disability and frailty in pre frail and frail older adults,Nein,Nein,Falsche Population,,,,
Synergistic Effects of Concurrent Aerobic and Strength Training on Fitness in Children and Adolescents: A Multivariate and Network Meta-Analysis.,,2024,"Li, Zhen; Qi, Yuqing; Chen, Xiaoke; Li, Jian; Zhang, Jinxi; Li, Peiyuan; Zhou, Zhixiong",,,BASE,,synergistic effects of concurrent aerobic and strength training on fitness in children and adolescents a multivariate and network meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
"Tailored nutrition strategies for Paralympic athletes: addressing unique energy, nutrients, and hydration needs to enhance performance and health",,2024,"Ghazzawi, H.; Al-Aqaili, R.; Khataybeh, B.; Al-Aittan, F.; Hamaideh, S.; Alhalaiqah, T.; Amawi, A.; Trabelsi, K.; Jahrami, H.; AlHaj Hasan, M.",10.3389/fnut.2025.1572961,,SPONET,10.3389/fnut.2025.1572961,tailored nutrition strategies for paralympic athletes addressing unique energy nutrients and hydration needs to enhance performance and health,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
"The Comparison of Two Methods of Exercise (intense interval training and concurrent resistance- endurance training) on Fasting Sugar, Insulin and Insulin Resistance in Women with Mellitus Diabetes",,2016,F Bazyar; E Banitalebi; SE Amirhosseini,,,BASE,,the comparison of two methods of exercise intense interval training and concurrent resistance endurance training on fasting sugar insulin and insulin resistance in women with mellitus diabetes,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
The compatibility of concurrent high intensity interval training and resistance training for muscular strength and hypertrophy: a systematic review and meta-analysis,,2018,"Sabag, A.; Najafi, A.; Michael, S.; Esgin, T.; Halaki, M.; Hackett, D.",10.1080/02640414.2018.1464636,,SPONET,10.1080/02640414.2018.1464636,the compatibility of concurrent high intensity interval training and resistance training for muscular strength and hypertrophy a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
The development of strength for sprint hurdlers and sprinters,,1996,"Arnold, M.",,,SPONET,,the development of strength for sprint hurdlers and sprinters,Nein,Nein,Review / Kein Originalartikel,,,,
The effect of 12-week resistance exercise training on serum levels of cellular aging process parameters in elderly men,Experimental Gerontology,2020,"Hooshmand-Moghadam, Babak; Eskandari, Mozhgan; Golestani, Fateme; Rezae, Saeed; Mahmoudi, Nahid; Gaeini, Abbas Ali",https://doi.org/10.1016/j.exger.2020.111090,,ScienceDirect,10.1016/j.exger.2020.111090,the effect of 12 week resistance exercise training on serum levels of cellular aging process parameters in elderly men,Nein,Nein,Reihenfolge nicht untersucht,Kein Kraft- und/oder Power-Outcome,,,
"The Effect of 12 Weeks of Different Exercise Training Modalities or Nutritional Guidance on Cardiometabolic Risk Factors, Vascular Parameters, and Physical Fitness in Overweight Adults: Cardiometabolic High-Intensity Interval Training-Resistance Training Randomized Controlled Study",,2020,"Ramírez-Vélez, Robinson; Castro-Astudillo, Karem; Correa-Bautista, Jorge Enrique; González-Ruíz, Katherine; Izquierdo, Mikel; García-Hermoso, Antonio; Álvarez, Cristian; Ramírez-Campillo, Rodrigo; JOUR",,,BASE,,the effect of 12 weeks of different exercise training modalities or nutritional guidance on cardiometabolic risk factors vascular parameters and physical fitness in overweight adults cardiometabolic high intensity interval training resistance training randomized controlled study,Nein,Nein,Reihenfolge nicht untersucht,Kein Kraft- und/oder Power-Outcome,,,
"The Effect of 8 Weeks of Concurrent Training on Serum Leptin Levels, Lipid Profiles and Body Composition of Overweight Inactive Men",,2019,Y. Foroutan; N. Pehpoor; V. Tadibi; S. Danashyar,,,BASE,,the effect of 8 weeks of concurrent training on serum leptin levels lipid profiles and body composition of overweight inactive men,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
"The effect of caffeine on exercise performance is not influenced by ADORA2A genotypes, alone or pooled with CYP1A2 genotypes, in adolescent athletes.",European journal of nutrition,2023,Dos Santos MPP; Spineli H; Dos Santos BP; Lima-Silva AE; Gitaí DLG; Bishop DJ; de Araujo GG,10.1007/s00394-022-03045-0,36385314,PubMed,10.1007/s00394-022-03045-0,the effect of caffeine on exercise performance is not influenced by adora2a genotypes alone or pooled with cyp1a2 genotypes in adolescent athletes,Nein,Nein,Kein HIIT oder Krafttraining,,,,
"The effect of combining HIIT and dry-land training on strength, technique, and 100-m butterfly swimming performance in age-group swimmers: a randomized controlled trial",,2023,"Amara, S.; Hammami, R.; Zacca, R.; Mota, J.; Negra, Y.; Gaied Chortane, S.",10.5114/biolsport.2023.110747,,SPONET,10.5114/biolsport.2023.110747,the effect of combining hiit and dry land training on strength technique and 100 m butterfly swimming performance in age group swimmers a randomized controlled trial,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
"The effect of high intensity combined training on functional capacity, muscle strength, body composition, agility and dynamic balance in patients with coronary artery disease",,2022,"Resnik, M; Corsi, M; Moreno, G; Taurozzi, S; Puga, L; Esker, L; Peralta, L; Bianconi, M; JOUR",,,BASE,,the effect of high intensity combined training on functional capacity muscle strength body composition agility and dynamic balance in patients with coronary artery disease,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
The Effect of High-Intensity Interval Cycling Sprints Subsequent to Arm-Curl Exercise on Upper-Body Muscle Strength and Hypertrophy.,,2016,"Kikuchi, Naoki; Yoshida, Shou; Okuyama, Mizuki; JOUR",,,BASE,,the effect of high intensity interval cycling sprints subsequent to arm curl exercise on upper body muscle strength and hypertrophy,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
The effect of high intensity resisted cycling with and without explosive resistance training on performance in competitive cyclists,,2007,"McQuillan, J.",,,SPONET,,the effect of high intensity resisted cycling with and without explosive resistance training on performance in competitive cyclists,Nein,Nein,Reihenfolge nicht untersucht,,,,
The Effect of Two Different Concurrent Training Programs on Strength and Power Gains in Highly-Trained Individuals,,2018,"Henrik Petré, Pontus Löfving, Niklas Psilander",,,BASE,,the effect of two different concurrent training programs on strength and power gains in highly trained individuals,Nein,Nein,Reihenfolge nicht untersucht,,,,
The effects of 10-week different exercise interventions on Framingham risk score and metabolic syndrome severity scores in overweight women with type 2 diabetes,,2018,"Banitalebi, Ebrahim; Mardaniyan Ghahfarrokhi, Majid; Faramarzi, Mohammad; JOUR",,,BASE,,the effects of 10 week different exercise interventions on framingham risk score and metabolic syndrome severity scores in overweight women with type 2 diabetes,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
The Effects of Combined High-Intensity Interval Training and Resistance Training on Strength and Endurance Performance in Soccer Players: A Systematic Review and Meta-Analysis ...,,2025,"Chowlee, Charles; Yin, Mingyue",,,BASE,,the effects of combined high intensity interval training and resistance training on strength and endurance performance in soccer players a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
"THE EFFECTS OF CONCURRENT STRENGTH AND ENDURANCE TRAINING ON INDICIES OF STRENGTH, POWER AND ENDURANCE PERFORMANCE",,2014,THES,,,BASE,,the effects of concurrent strength and endurance training on indicies of strength power and endurance performance,Nein,Nein,Kein HIIT oder Krafttraining,,,,
THE EFFECTS OF CONCURRENT TRAINING ON FEMALE SOCCER PLAYERS,,2017,,,,BASE,,the effects of concurrent training on female soccer players,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
"The effects of concurrent training order on body composition and serum concentrations of follistatin, myostatin and GDF11 in sarcopenic elderly men",Experimental Gerontology,2020,"Bagheri, Reza; Moghadam, Babak Hooshmand; Church, David D.; Tinsley, Grant M.; Eskandari, Mozhgan; Moghadam, Bizhan Hooshmand; Motevalli, Mohammad S.; Baker, Julien S.; Robergs, Robert A.; Wong, Alexei",https://doi.org/10.1016/j.exger.2020.110869,,ScienceDirect,10.1016/j.exger.2020.110869,the effects of concurrent training order on body composition and serum concentrations of follistatin myostatin and gdf11 in sarcopenic elderly men,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
"The Effects of Concurrent Training Order on Satellite Cell-Related Markers, Body Composition, Muscular and Cardiorespiratory Fitness in Older Men with Sarcopenia","The Journal of nutrition, health and aging",2020,"Moghadam, B.H.; Bagheri, R.; Ashtary-Larky, D.; Tinsley, G.M.; Eskandari, M.; Wong, A.; Moghadam, B.H.; Kreider, R.B.; Baker, Julien S.",https://doi.org/10.1007/s12603-020-1431-3,,ScienceDirect,10.1007/s12603-020-1431-3,the effects of concurrent training order on satellite cell related markers body composition muscular and cardiorespiratory fitness in older men with sarcopenia,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
The Effects of Different Exercise Training Types on Body Composition and Physical Performance in Older Adults with Sarcopenic Obesity: A Systematic Review and Meta-Analysis,"The Journal of nutrition, health and aging",2023,"da Silva Gonçalves, L.; Santos Lopes da Silva, Leonardo; Rodrigues Benjamim, C.J.; Tasinafo, M.F.; Bohn, L.; Ferreira Abud, G.; Ortiz, G.U.; de Freitas, E.C.",https://doi.org/10.1007/s12603-023-2018-6,,ScienceDirect,10.1007/s12603-023-2018-6,the effects of different exercise training types on body composition and physical performance in older adults with sarcopenic obesity a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
"The Effects of Exercise Order on the Psychophysiological Responses, Physical and Technical Performances of Young Soccer Players: Combined Small-Sided Games and High-Intensity Interval Training.",Biology,2021,Arslan E; Kilit B; Clemente FM; Soylu Y; Sögüt M; Badicu G; Akca F; Gokkaya M; Murawska-Ciałowicz E,10.3390/biology10111180,34827173,PubMed,10.3390/biology10111180,the effects of exercise order on the psychophysiological responses physical and technical performances of young soccer players combined small sided games and high intensity interval training,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Falsche Population,,,
The effects of exercise training on inflammatory biomarkers in patients with breast cancer: A systematic review and meta-analysis,Cytokine,2022,"Abbasi, Fatemeh; Pourjalali, Hanieh; do Nascimento, Israel Júnior Borges; Zargarzadeh, Nikan; Mousavi, Seyed Mohammad; Eslami, Rasoul; Milajerdi, Alireza",https://doi.org/10.1016/j.cyto.2021.155712,,ScienceDirect,10.1016/j.cyto.2021.155712,the effects of exercise training on inflammatory biomarkers in patients with breast cancer a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Kein HIIT oder Krafttraining,,
The Effects of High-Intensity Power Training versus Traditional Resistance Training on Exercise Performance.,International journal of environmental research and public health,2022,Chang YH; Chou YC; Chang YC; Tan KH; Wu MH,10.3390/ijerph19159400,35954756,PubMed,10.3390/ijerph19159400,the effects of high intensity power training versus traditional resistance training on exercise performance,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
The effects of low-volume combined training on health-related physical fitness outcomes in active young adults: A controlled clinical trial,Sports Medicine and Health Science,2023,"Martins, Ricardo; Loureiro, Nuno",https://doi.org/10.1016/j.smhs.2022.12.004,,ScienceDirect,10.1016/j.smhs.2022.12.004,the effects of low volume combined training on health related physical fitness outcomes in active young adults a controlled clinical trial,Nein,Nein,Reihenfolge nicht untersucht,,,,
The Effects of Two Different Concurrent Training Configurations on Markers of Metabolic Syndrome and Fitness in Women With Severe/Morbid Obesity: A Randomised Controlled Trial.,Frontiers in physiology,2021,Delgado-Floody P; Soriano-Maldonado A; Rodríguez-Pérez MA; Latorre-Román PÁ; Martínez-Salazar C; Vargas CA; Caamaño-Navarrete F; Jerez-Mayorga D; Álvarez C,10.3389/fphys.2021.694798,34621181,PubMed,10.3389/fphys.2021.694798,the effects of two different concurrent training configurations on markers of metabolic syndrome and fitness in women with severe morbid obesity a randomised controlled trial,Nein,Nein,Falsche Population,,,,
"The effects of two different concurrent training programs on specific performance, physiological and biochemical parameters in soccer players",,2024,"Arslan, Birgul; Pinar, Salih; JOUR",,,BASE,,the effects of two different concurrent training programs on specific performance physiological and biochemical parameters in soccer players,Nein,Nein,Reihenfolge nicht untersucht,,,,
The impacts of exercise interventions on inflammaging markers in overweight/obesity patients with heart failure: A systematic review and meta-analysis of randomized controlled trials,IJC Heart & Vasculature,2023,"Malandish, Abbas; Gulati, Martha",https://doi.org/10.1016/j.ijcha.2023.101234,,ScienceDirect,10.1016/j.ijcha.2023.101234,the impacts of exercise interventions on inflammaging markers in overweight obesity patients with heart failure a systematic review and meta analysis of randomized controlled trials,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
The metabolic and performance effects of carbohydrate timing in resistance trained males undergoing a carbohydrate restricted diet,Applied Physiology Nutrition and Metabolism,2021,"Krings, Ben M.; Waldman, Hunter S.; Shepherd, Brandon D.; McAllister, Matthew J.; Fountain, Brent J.; Lamberth, John G.; Smith, JohnEric W.",https://doi.org/10.1139/apnm-2020-0830,,ScienceDirect,10.1139/apnm-2020-0830,the metabolic and performance effects of carbohydrate timing in resistance trained males undergoing a carbohydrate restricted diet,Nein,Nein,Reihenfolge nicht untersucht,,,,
"The relationship between workloads, physical performance, injury and illness in adolescent male football players.","Sports medicine (Auckland, N.Z.)",2014,Gabbett TJ; Whyte DG; Hartwig TB; Wescombe H; Naughton GA,10.1007/s40279-014-0179-5,24715614,PubMed,10.1007/s40279-014-0179-5,the relationship between workloads physical performance injury and illness in adolescent male football players,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
The role of exercise training on cardiovascular peptides in patients with heart failure: A systematic review and meta-analysis,Current Research in Physiology,2022,"Malandish, Abbas; Ghadamyari, Niloufar; Karimi, Asma; Naderi, Mahdi",https://doi.org/10.1016/j.crphys.2022.06.004,,ScienceDirect,10.1016/j.crphys.2022.06.004,the role of exercise training on cardiovascular peptides in patients with heart failure a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
The science of cycling: physiology and training - part 1.,"Sports medicine (Auckland, N.Z.)",2005,Faria EW; Parker DL; Faria IE,10.2165/00007256-200535040-00002,15831059,PubMed,10.2165/00007256-200535040-00002,the science of cycling physiology and training part 1,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
The Social Distance Impacts from COVID-19 Pandemic on the Development of Two Orders of a Concurrent Training Programme for Morbidly Obese Patients.,International journal of environmental research and public health,2022,Delgado-Floody P; Chirosa-Ríos L; Guzmán-Guzmán IP; Vargas CA; Sandoval-Aguilera K; Caamaño-Navarrete F; Guede-Rojas F; Alvarez C,10.3390/ijerph192013408,36293985,PubMed,10.3390/ijerph192013408,the social distance impacts from covid 19 pandemic on the development of two orders of a concurrent training programme for morbidly obese patients,Nein,Nein,Falsche Population,Kein Kraft- und/oder Power-Outcome,,,
"Thesis ; Integration of velocity based training as a tool to implement strength, power and speed along with concurrent training methods in soccer players",,2021,"Ribeiro, Jorge Filipe Alves",,,BASE,,thesis integration of velocity based training as a tool to implement strength power and speed along with concurrent training methods in soccer players,Nein,Nein,Review / Kein Originalartikel,Sprache nicht Englisch / Deutsch,,,
"Three workouts compared: interval training, intermittent training and steady state training for the improvement of VO2max and BMI",,2021,"Aliberti, S.; Calandro, A.; Esposito, G.; Altavilla, G.; Raiola, G.",,,SPONET,,three workouts compared interval training intermittent training and steady state training for the improvement of vo2max and bmi,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Time in 85-100% heart rate zone increases lean body mass and VO2max in NCAA Division I soccer players,,2014,"Cook, R. A.; Hastings, B.; Gottschall, J. S.",,,SPONET,,time in 85 100 heart rate zone increases lean body mass and vo2max in ncaa division i soccer players,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Training and detraining effects on functional fitness after a multicomponent training in older women.,Gerontology,2009,Carvalho MJ; Marques E; Mota J,10.1159/000140681,18562788,PubMed,10.1159/000140681,training and detraining effects on functional fitness after a multicomponent training in older women,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Training effects of set- and repetition-interval rest time on recumbent-boxing exercise: Could virtual reality improve further?,iScience,2023,"Wang, Yi; Chen, Qi; Liu, Liangchao; He, Qiuhong; Cheung, James Chung-Wai; Wong, Duo Wai-Chi; Liu, Yang; Lam, Wing-Kai",https://doi.org/10.1016/j.isci.2023.107399,,ScienceDirect,10.1016/j.isci.2023.107399,training effects of set and repetition interval rest time on recumbent boxing exercise could virtual reality improve further,Nein,Nein,Kein HIIT oder Krafttraining,Kein Kraft- und/oder Power-Outcome,,,
Training-induced hypoalgesia and its potential underlying mechanisms,Neuroscience & Biobehavioral Reviews,2022,"Song, Jun Seob; Yamada, Yujiro; Kataoka, Ryo; Wong, Vickie; Spitz, Robert W.; Bell, Zachary W.; Loenneke, Jeremy P.",https://doi.org/10.1016/j.neubiorev.2022.104858,,ScienceDirect,10.1016/j.neubiorev.2022.104858,training induced hypoalgesia and its potential underlying mechanisms,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Triathlon. Wettkampffitness in 8 Stunden pro Woche,,2011,"Carmichael, C.; Rutberg, J.",,,SPONET,,triathlon wettkampffitness in 8 stunden pro woche,Nein,Nein,Review / Kein Originalartikel,,,,
Ungdom - ma trene mer styrke,,2006,"Aabech, M.",,,SPONET,,ungdom ma trene mer styrke,Nein,Nein,Review / Kein Originalartikel,,,,
Utholdenhetstrening - Forskning og beste praksis,,2013,,,,SPONET,,utholdenhetstrening forskning og beste praksis,Nein,Nein,Review / Kein Originalartikel,,,,
